Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2013-07-02 00:00:00,0.01,0,-9999.9,-9999.9,0
2013-07-09 00:00:00,0.09,0.03,0,0,0.03
2013-07-16 00:00:00,0.19,0.04,-9999.9,-9999.9,0.04
2013-07-23 00:00:00,0.41,0.11,5.38,2.74,0.11
2013-07-30 00:00:00,0.46,0.11,-9999.9,-9999.9,0.14
2013-08-06 00:00:00,0.79,0.24,30.86,16.89,0.48
2013-08-13 00:00:00,0.89,0.42,-9999.9,-9999.9,0.38
2013-08-20 00:00:00,1.25,0.41,46.71,25.09,0.44
2013-09-03 00:00:00,1.67,0.51,198.52,212.28,0.39
2013-09-10 00:00:00,1.89,0.55,-9999.9,-9999.9,0.36
2013-09-17 00:00:00,2.23,0.19,145.51,77.05,0.29
2013-09-24 00:00:00,2.26,0.43,-9999.9,-9999.9,0.25
2013-10-01 00:00:00,2.27,0.36,187.62,114.54,0.21
2013-10-08 00:00:00,2.21,0.42,-9999.9,-9999.9,0.15
2013-10-14 00:00:00,2.18,0.41,193.43,85.98,0.13
2013-10-28 00:00:00,2.07,0.32,154.46,79.49,0.08
2013-11-11 00:00:00,1.45,0.35,146.84,69.11,0.05
2013-11-25 00:00:00,1.37,0.21,108.19,57.01,0.04
2013-12-02 00:00:00,1.19,0.36,-9999.9,-9999.9,-9999.9
